,Name,Status,Province,PopulationCensus1981-03-01,PopulationCensus1991-03-01,PopulationCensus2001-11-01,PopulationCensus2011-11-01,PopulationEstimate2021-01-01,Unnamed: 8
855,Torroella de Montgrí,Municipality,Girona,5651,7023,8244,11296,12023,→
856,Torroja del Priorat,Municipality,Tarragona,179,132,142,172,141,→
857,Tortellà (Tortellá),Municipality,Girona,767,692,706,781,816,→
858,Tortosa,Municipality,Tarragona,28140,29452,28933,34422,33572,→
859,Toses (San Cristóbal de Tosas),Municipality,Girona,132,148,148,154,178,→
860,Tossa de Mar (Tosa de Mar),Municipality,Girona,2979,3439,4366,5809,5930,→
861,Tremp,Municipality,Lleida,5603,5308,5192,6289,5893,→
862,Ullà,Municipality,Girona,848,707,824,1037,1167,→
863,Ullastrell,Municipality,Barcelona,757,939,1252,1985,2096,→
864,Ullastret,Municipality,Girona,292,259,225,274,258,→
865,Ulldecona,Municipality,Tarragona,5273,5171,5534,7136,6317,→
866,Ulldemolins,Municipality,Tarragona,583,523,495,435,400,→
867,Ultramort,Municipality,Girona,225,201,201,207,226,→
868,Urús,Municipality,Girona,94,124,198,203,210,→
869,Vacarisses (Vacarisas),Municipality,Barcelona,443,863,3173,6240,7082,→
870,Vallbona d'Anoia,Municipality,Barcelona,1049,1040,1027,1418,1375,→
871,Vallbona de les Monges (Vallbona de las Monjas),Municipality,Lleida,275,289,268,257,236,→
872,Vallcebre,Municipality,Barcelona,375,308,254,277,258,→
873,Vallclara,Municipality,Tarragona,80,100,123,125,91,→
874,Vall de Cardós,Municipality,Lleida,369,333,348,406,382,→
875,Vallfogona de Balaguer,Municipality,Lleida,1316,1404,1503,1852,1912,→
876,Vallfogona de Ripollès,Municipality,Girona,264,252,209,222,213,→
877,Vallfogona de Riucorb,Municipality,Tarragona,128,102,154,121,77,→
878,Vallgorguina,Municipality,Barcelona,635,755,1430,2604,3052,→
879,Vallirana,Municipality,Barcelona,4377,6570,9866,14509,15438,→
880,Vall-llobrega,Municipality,Girona,209,209,438,895,918,→
881,Vallmoll,Municipality,Tarragona,929,1034,1292,1652,1793,→
882,Vallromanes,Municipality,Barcelona,383,657,1545,2463,2594,→
883,Valls,Municipality,Tarragona,18857,20092,20232,24893,24553,→
884,Vandellòs i l'Hospitalet de l'Infant (Vandellós y Hospitalet del Infante),Municipality,Tarragona,3841,4162,4373,5919,6645,→
885,Veciana,Municipality,Barcelona,211,163,157,168,179,→
886,Ventalló,Municipality,Girona,517,521,619,807,914,→
887,Verdú,Municipality,Lleida,954,960,1004,1013,880,→
888,Verges,Municipality,Girona,1231,1127,1104,1192,1183,→
889,Vespella de Gaià,Municipality,Tarragona,72,83,210,393,458,→
890,Vic (Vich),Municipality,Barcelona,30155,28736,32703,40998,47319,→
891,Vidrà (Vidrá),Municipality,Girona,197,171,163,163,186,→
